Prey\Predator,phytoplankton,infauna,amphipods,epibenthic,micro-zoop,copepods,euphausiids,carniv-zoops,small jellies,large jellies,pandalid shp,benthic shp,dungeness,tanner crb,mesopelagics,benthic fish,surf perch,OTHER CEPHALOPOD,market squid,Sardine,Anchovy,Herring,Chub Mackerel/Pacific,Sandlance,Whitebait smelt,OTHER smelt,Saury,Juvenile rockfish,Juvenile hake,Juvenile flat,Juvenile round,Juvenile thorny,Yellowtail Rockfish,Black Rockfish,Rockfish Friends,Yelloweye,Greenstriped,Rockfish buddies,Shortbelly,Petrale sole,Halibut,Hake,Lingcod,Arrowtooth flounder,Sablefish,Albacore*,Salmon,Grenadiers,Dogfish*,Canary Rockfish,Pacific Ocean Perch,Widow Rockfish,Splitnose Rockfish,Rockfish BFFFs,Shortspine thornyhead,Longspine Thornyhead,Flatfish*,Skates,Sharks*,Common Murre,Cassin's auklet,Rhinoceros auklet,Tufted Puffin,California gull,Western Gull/Glaucous-winged,Black-legged kittiwake,Albatross,Northern Fulmar,Shearwater,Leach's S. Petrel,Orcas (transient),Orcas (residential),Porpoises,Humpback,Minke,Fin,Sperm whale*,Harbor Seals,Sea lions,JUVENILE Northern Elephant seals,ADULT Northern Elephant Seals ,Fur seals,Blue whale,Gray whale,Dolphins,Brandt's cormorant,Double crested cormorant,Pelagic cormorant,Marbled murrelet,Pigeon Guillemot,Caspian tern,Brown Pelican,Detritus,pedigree,pedigree_mult
phytoplankton,0,0,0.2,0,0.75,0.8,0.9,0.03,0.5,0,0,0,0,0,0,0,0,0,0,0.251382604,0.320842633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000
infauna,0,0,0,0.43,0,0,0,0,0,0,0.25,0.4,0.4,0.792,0,0.3,0.395,0,0,0.001117256,0,0,0,0,0.043947848,0.003232526,0,0.009,0,0.575,0,0,0,0,0.024401914,0,0,0.003,0,0,0.002266797,0.003221204,0,0.001,0.02,0,0,0.15,0,0,0,0,0,0,0.050286634,0.16,0.777775492,0.022,0,0,0,0,0.010876402,0,0.004616272,0,0.00129122,0,0.026762878,0.009905894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017212586,0,0.00889447,0,0.002113815,0,0,0,0,0,0,150
amphipods,0,0,0,0.02,0,0,0,0.02,0,0,0.02,0.04,0.025,0,0.03,0.18,0.08,0.078,0.00575233,0.005306966,0,0.047344532,0.006800408,0.405219104,0.006353906,0.16546875,0.031941593,0.006,0.001833538,0.21,0.011,0,0.002,0.005661646,0.001913876,0,0.002815844,0.005,0.059690049,0.0035,0,0,0,0.001,0.001,0,0.01,0.05,0.003,0.001,0.032130499,0.035,0.020512821,0.015831135,0.050286634,0.03,0.053258193,0.01,0,0,0.019442679,0,0.004143391,0.003991195,0,0,0,0.022026432,0.001559412,0.019811788,0,0,0,0,0.008885459,0,0,0,0,0,0,0,0,0.636865708,0,0,0,0,0,0,0,0,0,0,150
epibenthic,0,0,0,0,0,0,0,0,0,0,0.05,0.4,0.2,0.118,0,0.4,0.205,0.009,0,0,0,0.002368656,0.049869659,0,0.284337282,0.239419214,0,0.022,0.006261359,0.2,0,0,0.005,0.03,0.071770335,0.178189557,0.056880045,0.05,0,0.14,0.018653513,0.003740754,0.05,0.02,0.05,0,0,0.15,0.04,0,0.004943154,0,0.001025641,0.021108179,0.057326763,0.2,0.131293782,0.12,0.004,0,0.004817503,0,0,0,0.004616272,0,0,0,0.002275898,0.001981179,0,0,0,0,0.003109911,0,0,0.02,0.005,0,0.047396754,0,0,0.017556838,0,0,0,0,0,0,0,0,0,0,150
micro-zoop,0,0,0,0,0,0.2,0.05,0.03,0.25,0.03,0,0,0,0,0,0,0,0,0,0.01117256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
copepods,0,0,0,0,0,0,0.05,0.5,0,0.3,0.1,0,0,0,0.32,0,0.25,0.072,0.016850329,0.307245405,0.123588299,0.195443837,0.145075371,0.231905465,0.0117812,0.159403669,0.045402692,0.39,0.083252825,0,0.818,0.2,0,0,0,0,0.005443965,0.02,0.071260791,0,0,0,0,0,0,0,0.03,0,0,0,0,0.002,0.002051282,0,0,0,0.006677119,0,0,0,0.392558497,0,0.004143391,0,0,0,0,0.022026432,0,0.001485884,0,0,0,0,0.008885459,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
euphausiids,0,0,0,0,0,0,0,0.35,0,0.6,0.2,0,0,0,0.52,0,0,0.492,0.221638431,0.407798447,0.436347598,0.656370339,0.615663606,0.256031512,0.294927125,0.14869302,0.666210358,0.44,0.803397254,0,0.123,0.5,0.55,0.247389311,0.09569378,0,0.143514173,0.5,0.827843011,0.0025,0,0.709380467,0.003,0.07,0.074,0.002974715,0.16,0,0.23,0.92,0.771131982,0.3,0.76,0.712401055,0,0,0.005373986,0.048,0.012,0.008026936,0.392616956,0.093224442,0.050907386,0,0.008078477,0.012265513,0,0.022026432,0.06571598,0.29717682,0,0,0,0.3,0.510913912,0.78,0,0,0,0,0.004096016,0,0.516666667,0.000688503,0,0,0,0,0.144951773,0,0,0,0,0.6,1000
carniv-zoops,0,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0,0.04,0,0,0.181,0.630432674,0.002569689,0.017833567,0.072899023,0.013600816,0.096504185,0.273681253,0.137755695,0,0.004,0.014353935,0,0.029,0.25,0.025,0.118861428,0.09569378,0,0.351980477,0.01,0.041206148,0,0,0.021333146,0.009,0.001,0.01,0.002974715,0.18,0,0.005,0.008,0.069204152,0.2,0.175384615,0.052770449,0.010057327,0,0.001074797,0.005,0,0,0.004800032,0,0,0,0,0,0.00322805,0,0,0,0,0,0,0,0.00444273,0.01,0,0,0,0,0.009752419,0,0,0.008950545,0.042130116,0,0,0.004804125,0.034225264,0,0,0,0,0.6,1000
small jellies,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0.045,0,0,0.116,0.008069241,0.01117256,0.096475199,0.002339778,0.022554687,0,0,0.06883033,0,0.001,0,0,0,0.05,0.06,0.02,0.133971292,0,0,0,0,0,0,0,0,0,0.04,0,0.01,0,0,0.001,0,0.32,0,0,0.005028663,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004887003,0,0,0,0,0.016737196,0.011507854,0,0,0,0,0,0,0,0,0,0,0,0,0,150
large jellies,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0.075499334,0,0,0,0.014054177,0,0,0.040020593,0,0,0,0,0,0,0.01,0.038369936,0.105263158,0,0,0,0,0,0,0,0,0,0.025,0,0.002,0,0.05,0,0,0.04,0,0.005277045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001938728,0.217929668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
