Groups,density,CV_bio,PB,PB_CV,QB,QB_CV,EE,Yield,Y_CV
phytoplankton,-1,0,120,0.1,0,0,0.4009343,0,0
infauna,-1,0,2.5,0.2,12,0.2,0.8400955,0,0
amphipods,-1,0,3.5,0.2,22,0.2,0.8,0,0
epibenthic,-1,0,2,0.2,10,0.2,0.8,0,0
micro-zoop,-1,0,100,0.2,300,0.2,0.8,0,0
copepods,-1,0,14,0.1,70,0.2,0.8,0,0
euphausiids,-1,0,8,0.2,40,0.2,0.8,0,0
carniv-zoops,-1,0,2,0.2,10,0.2,0.8,0,0
small jellies,-1,0,9,0.15,30,0.15,0.8,0,0
large jellies,-1,0,3,0.15,12,0.15,0.8,0,0
pandalid shp,-1,0,2,0.1,10,0.2,0.8,0.10557947,0.1
benthic shp,-1,0,2.5,0.2,12,0.2,0.8,0.000102649,0.1
dungeness,-1,0,0.75,0.1,3.8,0.15,0.6416793,0.091977295,0.1
tanner crb,-1,0,0.3,0.15,1.5,0.15,0.8,0,0
mesopelagics,9.933774834,0.25,0.6,0.1,3,0.1,-1,0,0
benthic fish,-1,0,0.5,0.15,2.5,0.15,0.8,0,0
surf perch,-1,0,1.3,0.1,6,0.15,0.8,0,0
Other cephalopod,-1,0,2,0.2,6,0.2,0.8,0,0
Market squid,-1,0,2.75,0.2,10,0.2,0.8,0.266986652,0.1
Sardine,3.240503311,0.15,0.515,0.05,5,0.2,-1,0.487482781,0.1
Anchovy,1.501728568,0.25,1.09,0.1,6,0.2,-1,0.038661258,0.1
Herring,0.662251656,0.35,1.6,0.15,7.489,0.15,-1,0.006460732,0.1
Pacific Mackerel,0.491839073,0.15,0.514,0.05,6,0.15,-1,0.026893709,0.1
Sandlance,-1,0,1,0.15,3.65,0.2,0.8,0,0
Whitebait smelt,0.0802732,0.25,1.6,0.2,6,0.2,-1,0,0
Other smelt,-1,0,1.5,0.2,6,0.2,0.8,0,0
Saury,1.149668874,0.35,1.6,0.15,3.65,0.15,-1,0,0
Juvenile rockfish,-1,0,1.5,0.2,6,0.2,0.8,0,0
Juvenile hake,-1,0,1.750219,0.2805111,6.10087,0.08225258,0.8,0,0
Juvenile flat,-1,0,1,0.2,4,0.2,0.8,0,0
Juvenile round,-1,0,1.5,0.2,5.125006,0.2,0.8,0,0
Juvenile thorny,-1,0,0.5,0.2,2.5,0.2,0.8,0,0
Yellowtail Rockfish,0.545163633,0.2,0.146,0.1,1.7,0.05,-1,0.013772533,0.1
Black rockfish,0.1242011,0.04357108,0.129,0.1,2.01,0.05,-1,0.003147359,0.1
Nearshore rockfish,0.08012399,0.02422206,0.158,0.1,2.01,0.15,-1,0.001685619,0.1
Yelloweye,0.008983841,0.2,0.0505,0.05,2.2,0.15,-1,4.40E-05,0.1
Greenstriped,0.097823179,0.25,0.125,0.15,2.2,0.15,-1,0.000125144,0.1
Slope rockfish,0.439965033,0.2,0.159,0.15,2.2,0.15,-1,0.001527953,0.1
Shortbelly,0.360264901,0.2,0.26,0.05,2.2,0.15,-1,2.48E-08,0.1
Petrale sole,0.078555298,0.2,0.32,0.1,1.7,0.05,-1,0.005351024,0.1
Halibut,0.18512944,0.2,0.47,0.1,2.12,0.15,-1,0.003187362,0.1
Hake,8.043867215,0.15,0.41,0.05,1.956522,0.1,-1,0.946896358,0.1
Lingcod,0.312460265,0.15,0.295,0.1,2.4,0.05,-1,0.003635714,0.1
Arrowtooth,0.344084437,0.2,0.264,0.1,2.12,0.15,-1,0.034198472,0.1
Sablefish,0.896231788,0.15,0.0984,0.1,2,0.05,-1,0.025024241,0.1
Albacore,0.095615672,0.2,0.36,0.15,7.3,0.15,-1,0.003644776,0.1
Salmon,0.124642576,0.25,1.76,0.1,5.3,0.15,-1,0.02536702,0.1
Grenadiers,0.36435566,0.25,0.2,0.15,1,0.05,-1,0.00036439,0.1
Dogfish,0.859089052,0.2,0.0694,0.05,2.5,0.1,-1,0.004742406,0.1
Canary Rockfish,0.077562914,0.2,0.113,0.1,1.66,0.05,-1,0.00218037,0.1
Pacific Ocean Perch,0.100933775,0.25,0.0689,0.2464643,2.07,0.05,-1,0.002277947,0.1
Widow Rockfish,0.259449283,0.2,0.1287,0.05,2.2,0.05,-1,0.005090041,0.1
Splitnose Rockfish,0.336721589,0.2,0.07478,0.1,1.91,0.15,-1,0.00120603,0.1
Shelf rockfish,0.230325174,0.2,0.06465,0.1,1.91,0.15,-1,0.003043813,0.1
Shortspine thornyhead,1.09813245,0.2,0.0545,0.05,0.47,0.15,-1,0.00350204,0.1
Longspine Thornyhead,0.308796556,0.2,0.1213,0.05,0.35,0.15,-1,0.003078029,0.1
Flatfish,3.56936053,0.2,0.35,0.15,2,0.2,-1,0.049017319,0.1
Skates,0.40241797,0.25,0.2216,0.2,2,0.2,-1,0.003941229,0.1
Sharks,-1,0,0.18,0.15,2.8,0.15,0.75,0.00267568,0.1
Common Murre,0.003271902,0.1,0.08409193,0.290627,169.5,0.05,-1,0,0
Cassin's auklet,0.00122623,0.2,0.2338771,0.04091032,266.9,0.05,-1,0,0
